Sr.,Stock Name,Symbol,Links,% Chg,Price,Volume
32,Coforge (Niit Tech),COFORGE,P&F | F.A,0.5%,4294.1,"7,44,813"
335,Supreme Petrochem Ltd,SPLPETRO,P&F | F.A,0%,353.4,"93,097"
33,Apollo Hospitals Enterprise Limited,APOLLOHOSP,P&F | F.A,0%,4244.15,"4,21,866"
398,Jyothy Laboratories Limited,JYOTHYLAB,P&F | F.A,0%,204.8,"3,75,967"
248,HDFC Life Insurance Company Ltd,HDFCLIFE,P&F | F.A,0%,587.7,"36,32,289"
399,Tata Power Company Limited,TATAPOWER,P&F | F.A,0%,202.35,"1,35,21,282"
176,Sundram Fasteners Limited,SUNDRMFAST,P&F | F.A,0%,998.3,"75,594"
295,Godrej Agrovet Ltd,GODREJAGRO,P&F | F.A,0%,453.4,"62,013"
171,Sun Pharmaceuticals Industries Limited,SUNPHARMA,P&F | F.A,0%,1043.4,"34,48,013"
180,Bharat Dynamics Ltd,BDL,P&F | F.A,0%,925.55,"5,93,947"
298,Brigade Enterprises Limited,BRIGADE,P&F | F.A,0%,451,"1,97,812"
369,Triveni Turbine Limited,TRITURBINE,P&F | F.A,0%,273.6,"4,06,783"
9,Procter & Gamble Hygiene And Health Care Limited,PGHH,P&F | F.A,0%,13565,"2,302"
288,Icici Prudential Life Insurance Company Limited,ICICIPRULI,P&F | F.A,0%,465.25,"30,31,223"
409,Ntpc Limited,NTPC,P&F | F.A,0%,166.3,"1,37,56,671"
144,Varun Beverages Limited,VBL,P&F | F.A,0%,1242.55,"9,03,154"
138,Metropolis Healthcare Ltd,METROPOLIS,P&F | F.A,0%,1300.9,"1,25,630"
14,Ultratech Cement Limited,ULTRACEMCO,P&F | F.A,0%,6715.6,"6,35,582"
85,Srf Limited,SRF,P&F | F.A,0%,2131.1,"4,71,175"
385,Biocon Limited,BIOCON,P&F | F.A,0%,235.5,"67,34,102"
388,Petronet Lng Limited,PETRONET,P&F | F.A,0%,225.55,"21,05,185"
